"State_Name","Constituency_No","Year","Party","Votes","Electors","Constituency_Name","BJP_vote_share"
"andhrapradesh",22,2019,"BJP",12513,1672845,"NELLORE",0.748007137541135
"andhrapradesh",23,2019,"BJP",16125,1650453,"TIRUPATI",0.977004495129519
"andhrapradesh",25,2019,"BJP",10496,1566499,"CHITTOOR",0.670029154183948
"arunachalpradesh",1,2019,"BJP",225796,463775,"ARUNACHAL WEST",48.6865398091747
"arunachalpradesh",2,2019,"BJP",153883,339788,"ARUNACHAL EAST",45.2879442475897
"assam",1,2019,"BJP",473046,1340173,"KARIMGANJ",35.2973832482821
"assam",2,2019,"BJP",499414,1195720,"SILCHAR",41.766801592346
"assam",3,2019,"BJP",381316,795945,"AUTONOMOUS DISTRICT",47.9073302803586
"assam",7,2019,"BJP",1008936,2181319,"GAUHATI",46.25348241133
"assam",8,2019,"BJP",735469,1800237,"MANGALDOI",40.8540097776015
"assam",9,2019,"BJP",684166,1499639,"TEZPUR",45.6220463724936
"assam",10,2019,"BJP",722972,1794648,"NOWGONG",40.2848915219029
"assam",12,2019,"BJP",543288,1365035,"JORHAT",39.800298160853
"assam",13,2019,"BJP",659583,1314319,"DIBRUGARH",50.1843920692009
"assam",14,2019,"BJP",776406,1708013,"LAKHIMPUR",45.4566797793694
"bihar",2,2019,"BJP",603706,1633824,"PASCHIM CHAMPARAN",36.9504916074192
"bihar",3,2019,"BJP",577787,1658672,"PURVI CHAMPARAN",34.8343132337195
"bihar",4,2019,"BJP",608678,1686215,"SHEOHAR",36.0972948289512
"bihar",6,2019,"BJP",595843,1792798,"MADHUBANI",33.2353672862196
"bihar",9,2019,"BJP",618434,1805439,"ARARIA",34.2539404543715
"bihar",14,2019,"BJP",586668,1654811,"DARBHANGA",35.4522661500316
"bihar",15,2019,"BJP",666878,1730553,"MUZAFFARPUR",38.5355432627605
"bihar",19,2019,"BJP",546352,1807768,"MAHARAJGANJ",30.2224621743498
"bihar",20,2019,"BJP",499986,1667253,"SARAN",29.9886100069995
"bihar",22,2019,"BJP",543906,1612300,"UJIARPUR",33.7347888110153
"bihar",24,2019,"BJP",692193,1958382,"BEGUSARAI",35.3451471674066
"bihar",30,2019,"BJP",607506,2146008,"PATNA SAHIB",28.308654953756
"bihar",31,2019,"BJP",509557,1925479,"PATALIPUTRA",26.4639084612193
"bihar",32,2019,"BJP",566480,2089353,"ARRAH",27.1126994816099
"bihar",33,2019,"BJP",473053,1829373,"BUXAR",25.8587505117874
"bihar",34,2019,"BJP",494800,1787878,"SASARAM (SC)",27.6752664331683
"bihar",37,2019,"BJP",427721,1742883,"AURANGABAD",24.5410047605031
"chandigarh",1,2019,"BJP",231188,646729,"CHANDIGARH",35.74727590691
"chhattisgarh",1,2019,"BJP",663711,1655239,"SARGUJA",40.0975931572419
"chhattisgarh",2,2019,"BJP",658335,1733805,"RAIGARH",37.970533018419
"chhattisgarh",3,2019,"BJP",572790,1897134,"JANJGIR-CHAMPA",30.1923849343273
"chhattisgarh",4,2019,"BJP",497061,1508840,"KORBA",32.9432544206145
"chhattisgarh",5,2019,"BJP",634559,1876953,"BILASPUR",33.8079323243576
"chhattisgarh",6,2019,"BJP",662387,1716459,"RAJNANDGAON",38.5903187900206
"chhattisgarh",7,2019,"BJP",849374,1940269,"DURG",43.7760949641519
"chhattisgarh",8,2019,"BJP",837902,2111738,"RAIPUR",39.6783123664015
"chhattisgarh",9,2019,"BJP",616580,1637951,"MAHASAMUND",37.6433727260461
"chhattisgarh",10,2019,"BJP",363545,1379122,"BASTAR",26.3606120415743
"chhattisgarh",11,2019,"BJP",546233,1558952,"KANKER",35.0384745649642
"dadranagarhaveli",1,2019,"BJP",81420,250029,"DADRA AND NAGAR HAVELI",32.5642225501842
"damandiu",1,2019,"BJP",37597,121740,"DAMAN & DIU",30.8830294069328
"delhi",1,2019,"BJP",519055,1562283,"CHANDNI CHOWK",33.2241341677532
"delhi",2,2019,"BJP",787799,2290492,"NORTH EAST DELHI",34.3943135361311
"delhi",3,2019,"BJP",696156,2039302,"EAST DELHI",34.1369743176832
"delhi",4,2019,"BJP",504206,1617470,"NEW DELHI",31.1725101547478
"delhi",5,2019,"BJP",848663,2378995,"NORTH WEST DELHI",35.6731729154538
"delhi",6,2019,"BJP",865648,2371644,"WEST DELHI",36.4999131404207
"delhi",7,2019,"BJP",687014,2067463,"SOUTH DELHI",33.2298087075803
"goa",1,2019,"BJP",244844,556761,"NORTH GOA",43.976499790754
"goa",2,2019,"BJP",191806,579352,"SOUTH GOA",33.1069884974938
"gujarat",1,2019,"BJP",637034,1744321,"KACHCHH",36.520456957177
"gujarat",2,2019,"BJP",679108,1697384,"BANASKANTHA",40.0090963506195
"gujarat",3,2019,"BJP",633368,1807043,"PATAN",35.0499683737465
"gujarat",4,2019,"BJP",659525,1648869,"MAHESANA",39.9986293635213
"gujarat",5,2019,"BJP",701983,1801717,"SABARKANTHA",38.9618902413642
"gujarat",6,2019,"BJP",894624,1945772,"GANDHINAGAR",45.9778432416542
"gujarat",7,2019,"BJP",749834,1811851,"AHMEDABAD EAST",41.3849703976762
"gujarat",8,2019,"BJP",641622,1643317,"AHMEDABAD WEST",39.0443231585872
"gujarat",9,2019,"BJP",631844,1849429,"SURENDRANAGAR",34.1642744868822
"gujarat",10,2019,"BJP",758645,1884339,"RAJKOT",40.2605369840565
"gujarat",11,2019,"BJP",563881,1662368,"PORBANDAR",33.9203473599107
"gujarat",12,2019,"BJP",591588,1657166,"JAMNAGAR",35.6987773101789
"gujarat",13,2019,"BJP",547744,1642864,"JUNAGADH",33.3407999688349
"gujarat",14,2019,"BJP",529035,1628451,"AMRELI",32.4870075918772
"gujarat",15,2019,"BJP",661273,1768297,"BHAVNAGAR",37.3960369779511
"gujarat",16,2019,"BJP",633097,1655870,"ANAND",38.233496590916
"gujarat",17,2019,"BJP",714572,1804028,"KHEDA",39.6098064996774
"gujarat",18,2019,"BJP",732136,1744762,"PANCHMAHAL",41.9619409409421
"gujarat",19,2019,"BJP",561760,1598939,"DAHOD",35.1332977680825
"gujarat",20,2019,"BJP",883719,1794896,"VADODARA",49.2351088865316
"gujarat",21,2019,"BJP",764445,1671253,"CHHOTA UDAIPUR",45.7408303829522
"gujarat",22,2019,"BJP",637795,1564519,"BHARUCH",40.7662035424306
"gujarat",23,2019,"BJP",742273,1826526,"BARDOLI",40.6385126737862
"gujarat",24,2019,"BJP",795651,1655704,"SURAT",48.0551475384489
"gujarat",25,2019,"BJP",972739,1971658,"NAVSARI",49.3360917562782
"gujarat",26,2019,"BJP",771980,1671030,"VALSAD",46.1978540181804
"haryana",1,2019,"BJP",746508,1853711,"AMBALA",40.2710023299209
"haryana",2,2019,"BJP",688629,1657335,"KURUKSHETRA",41.5503805808723
"haryana",3,2019,"BJP",714351,1803349,"SIRSA",39.6124654739598
"haryana",4,2019,"BJP",603289,1631817,"HISAR",36.970383321169
"haryana",5,2019,"BJP",911594,1904193,"KARNAL",47.8729834633359
"haryana",6,2019,"BJP",587664,1592611,"SONIPAT",36.8994060696554
"haryana",7,2019,"BJP",573845,1737133,"ROHTAK",33.0340279069018
"haryana",8,2019,"BJP",736699,1654317,"BHIWANI-MAHENDRAGARH",44.5319125657295
"haryana",9,2019,"BJP",881546,2150728,"GURGAON",40.9882607191611
"haryana",10,2019,"BJP",913222,2071816,"FARIDABAD",44.0783351417307
"himachalpradesh",1,2019,"BJP",725218,1427338,"KANGRA",50.8091286016347
